OBJECTID,IN_FID,2019年线上送餐快餐可达性,2019年线上送餐快餐可得性,2019年线上送餐快餐平均价格,2019年线上送餐快餐可选择性,2019年线上送餐正餐可达性,2019年线上送餐正餐可得性,2019年线上送餐正餐平均价格,2019年线上送餐正餐可选择性,2019年线下步行快餐可达性,2019年线下步行快餐可得性,2019年线下步行快餐平均价格,2019年线下步行快餐可选择性,2019年线下步行正餐可达性,2019年线下步行正餐可得性,2019年线下步行正餐平均价格,2019年线下步行正餐可选择性,2023年线上送餐快餐可达性,2023年线上送餐快餐可得性,2023年线上送餐快餐平均价格,2023年线上送餐快餐可选择性,2023年线上送餐正餐可达性,2023年线上送餐正餐可得性,2023年线上送餐正餐平均价格,2023年线上送餐正餐可选择性,2023年线下步行快餐可达性,2023年线下步行快餐可得性,2023年线下步行快餐平均价格,2023年线下步行快餐可选择性,2023年线下步行正餐可达性,2023年线下步行正餐可得性,2023年线下步行正餐平均价格,2023年线下步行正餐可选择性,2025年线上送餐快餐可达性,2025年线上送餐快餐可得性,2025年线上送餐快餐平均价格,2025年线上送餐快餐可选择性,2025年线上送餐正餐可达性,2025年线上送餐正餐可得性,2025年线上送餐正餐平均价格,2025年线上送餐正餐可选择性,2025年线下步行快餐可达性,2025年线下步行快餐可得性,2025年线下步行快餐平均价格,2025年线下步行快餐可选择性,2025年线下步行正餐可达性,2025年线下步行正餐可得性,2025年线下步行正餐平均价格,2025年线下步行正餐可选择性,Cluster,建成时长,物业费,与市中心的距离,省,城市,行政区,小区,均价,地址,lng,lat
11,11,1603.618426,0.006439999,22.17771923,6.21938026,1015.290989,0.004219079,35.40408199,10.33405296,64.195936,0.019363099,22.58714232,4.9976967,152.5159191,0.01153687,142.2674225,12.659582,3171.936331,0.013037433,23.53856876,7.266892291,669.5572077,0.002824511,29.2912909,10.55259853,41.49716422,0.012770149,31.34639724,5.247944015,94.12337092,0.006977857,165.6468694,12.45000713,1168.873535,0.004793447,25.35151937,7.205969942,926.0053439,0.003903377,49.45503432,11.15520998,22.17013295,0.007444965,30.75568084,6.107273435,77.74530685,0.00586329,141.3021197,9.994721162,1,38,0.6,1862.586078,浙江,杭州,西湖,宝石新村,84110,"西湖 - 西湖 - 宝石二路,近宝石二路",120.142438,30.266392
12,12,1347.610619,0.005972832,21.83439312,6.359772831,699.4914667,0.003157084,33.93048636,10.01203463,150.0438115,0.021251691,27.58277339,5.452225474,208.2049804,0.00959513,64.37897712,10.21147116,2876.299714,0.013384972,22.5247402,7.287253389,592.0217826,0.002825357,31.17898968,10.71452219,43.11652416,0.006149147,21.9240298,4.9776971,78.12696446,0.003498772,75.14075116,10.05488763,1055.144893,0.005103626,24.22226593,7.118931254,696.4000165,0.003254396,46.51264399,11.18166188,36.39729447,0.005773246,21.7423644,6.30744905,64.00852332,0.002932243,85.22313465,9.052251848,1,36,0.5,4575.813176,浙江,杭州,拱墅,杭锅新村,29208,拱墅 - 三塘 - 德胜路,120.169742,30.300823
13,13,1192.426959,0.005479538,22.65865334,6.224786451,729.6599714,0.003397369,36.17198207,10.46668013,218.9687487,0.023074644,23.79233253,5.92533193,303.2023459,0.013557569,98.23377497,11.03369018,2663.321084,0.012612515,23.0408354,7.146031874,509.0028715,0.00256385,26.83057755,11.16286116,158.1451304,0.017145975,29.86760027,5.382474637,297.1837179,0.012991118,109.597329,10.47245004,920.6012986,0.004322534,25.22054813,7.199384463,703.0641621,0.003359493,49.43290637,11.11291281,134.8227113,0.014179858,25.89267349,6.809010015,207.745255,0.008827951,95.217051,10.30901481,1,36,0.9,1996.457339,浙江,杭州,上城,大马弄小区,34827,上城 - 吴山/清波门 - 大马弄,120.16436,30.23753
14,14,1751.419766,0.006843693,22.18457412,6.301965934,1079.558006,0.004315472,35.57456392,10.33466789,113.5914174,0.015090204,22.39700452,5.38195693,298.8146178,0.012937434,122.8075997,12.84042344,3428.953418,0.013604221,23.42616939,7.255697172,721.1060325,0.002894723,29.14062598,10.52953191,66.61525965,0.010057778,24.80047119,5.252072104,242.5454917,0.010199725,134.9854734,13.62544002,1256.505229,0.005003284,25.25100279,7.20908131,986.3368836,0.003962089,49.10711669,11.16231367,45.81383149,0.006253418,30.70169709,6.76805268,184.8883866,0.007821578,116.8663086,11.72861336,1,36,0.5,1889.457324,浙江,杭州,西湖,金祝新村(南区),55154,西湖 - 松木场 - 体育场路568号,120.146713,30.271504
15,15,1759.584718,0.006880822,22.15838098,6.300293259,1085.411779,0.004335539,35.45778899,10.32383143,126.6231261,0.01587026,22.64726189,5.542091333,282.0423584,0.011752694,124.2298404,12.69613432,3432.223414,0.013615494,23.40854539,7.250640417,726.597927,0.002912118,29.12072893,10.49409017,74.45483243,0.009232251,25.12704277,5.180483943,210.9986296,0.008515152,136.6066274,13.4491465,1261.096547,0.005027736,25.21288898,7.201842483,987.982462,0.00396204,48.99991809,11.22103288,52.13831345,0.006528341,29.54361826,6.527191419,165.5467113,0.006765447,116.6348662,11.41605701,1,36,0.5,2046.391549,浙江,杭州,西湖,金祝新村(北区),58881,西湖 - 黄龙 - 金祝北路21号,120.146208,30.273086
16,16,1793.407301,0.006870405,22.26592476,6.326998533,1080.242842,0.004227692,35.96544373,10.27686803,186.5041204,0.022969575,24.95966596,5.502604316,466.6748831,0.017853097,116.5720112,13.21505285,3540.531735,0.013745707,23.37312387,7.230857421,728.0612054,0.002845138,28.95878903,10.6230263,108.3570237,0.013328827,23.29583747,5.363297899,424.5168191,0.016185961,126.7733523,13.45898746,1274.385691,0.004957858,25.25413696,7.215802856,998.2599109,0.003911095,49.14785411,11.16378577,88.91250321,0.010713991,28.45936482,6.344932894,327.0434124,0.012132422,117.4475374,12.5620853,1,36,1.5,1649.756024,浙江,杭州,拱墅,桃花河小区,68759,拱墅 - 武林 - 环城西路82号,120.151642,30.271654
17,17,1195.221478,0.005807717,22.623916,6.129732182,701.8170507,0.00342559,36.01267864,10.90151381,143.0572139,0.014824711,23.64305416,5.995286487,213.6592384,0.008612788,89.35706187,9.51539973,2660.15106,0.013071036,23.09482909,7.146920728,502.7449845,0.002593207,26.83952378,10.95710165,112.0992525,0.011563319,30.77599923,5.581120822,220.3454071,0.008921505,101.8080014,9.02069457,937.1585806,0.004643204,25.01381969,7.036594961,681.2492332,0.003360931,48.91325903,11.45283179,94.54985152,0.009759476,23.8685372,6.94397146,157.934549,0.006233868,88.43148552,9.35025009,1,35,1.1,2492.421394,浙江,杭州,上城,上水陆寺巷,33567,"上城 - 望江 - 江城路,近抚宁巷",120.170086,30.234604
18,18,1437.460128,0.006362614,22.6019722,6.189080495,835.1531554,0.003712958,36.17976443,10.50756177,254.7796998,0.028115903,24.92712042,5.955813935,329.0965188,0.012171972,92.18068404,10.51115125,3112.7726,0.014061322,23.19100174,7.210540361,585.9431285,0.002675868,27.24077238,11.06126184,184.3387472,0.02019289,31.82967448,5.267922009,331.3785279,0.012043795,99.77969496,10.87237058,1100.04439,0.004982498,25.06879788,7.132654124,815.0511625,0.003650812,48.72302597,11.30385802,160.8461942,0.016987412,25.58101623,6.761310388,236.3311386,0.008520011,87.63721527,10.52347411,1,35,0.5,1980.451012,浙江,杭州,上城,断河头小区,45054,上城 - 吴山/清波门 - 河坊街51号,120.170907,30.241309
19,19,1149.654483,0.00527777,22.68657924,6.289980556,718.5027134,0.00337085,36.23149955,10.30606238,154.6961066,0.018144073,24.89569419,5.86826178,295.2449009,0.014733489,102.6517872,11.08890551,2586.575748,0.012334371,23.03807538,7.17097388,498.0348038,0.002578165,26.84559498,11.2550916,106.5586651,0.012575865,26.54254075,5.538563449,283.248777,0.01396214,116.9839291,10.37177104,887.6769165,0.004168573,25.3241869,7.232229366,690.7388168,0.003370955,49.75504965,11.02785279,87.93664938,0.010181442,25.7929128,6.467664383,194.8602487,0.009491689,102.073908,9.983649017,1,34,0.5,1903.504456,浙江,杭州,上城,元宝心小区,31185,"上城 - 吴山/清波门 - 十五奎巷,近城隍牌楼",120.161761,30.237827
20,20,1767.946156,0.006990769,21.99513342,6.281903914,1044.239274,0.004148533,34.80317904,10.37031958,169.9595599,0.013707333,24.74798812,5.937245326,245.1415114,0.006705664,89.00810502,11.21062363,3430.053322,0.013689729,23.41052357,7.27493729,743.0453764,0.002972198,29.02892033,10.49770003,128.3678065,0.010104023,22.54748585,5.356326513,187.9992868,0.005074083,96.93724344,11.57983979,1271.863593,0.005120291,24.81252718,7.185063979,950.4441829,0.003769387,48.03082039,11.30478475,96.94701831,0.00786207,25.52578997,6.279885498,137.7452469,0.00372888,94.05080256,10.44234836,1,34,0.2,3204.123,浙江,杭州,拱墅,莫干新村,31831,拱墅 - 湖墅 - 潮王路317号,120.145696,30.286017
21,21,1077.232532,0.005581019,22.63108997,6.115396155,639.5754812,0.003328947,35.9316322,10.9255493,117.9859923,0.014839875,25.79919514,6.104415083,173.8036536,0.007566004,86.21996595,9.885474859,2430.647394,0.01269148,23.05788279,7.139156858,465.7401945,0.002610363,26.63596988,11.11403473,81.68351886,0.009904766,25.89106629,5.537951041,189.90207,0.008366968,97.08723808,9.163914067,861.5948072,0.004583156,24.98055787,7.005111189,619.2317205,0.003283059,49.01376204,11.44903357,67.4014234,0.008341889,24.71120423,7.057607408,128.2652651,0.005467479,88.31319847,10.00634861,1,34,0.2,2721.842028,浙江,杭州,上城,江城路小区(316-322号),32698,上城 - 望江 - 江城路316-322号,120.169,30.231532
22,22,1809.921367,0.007095429,22.45974226,6.339242878,1043.658677,0.004159273,35.75834403,10.14241398,253.6566546,0.018330545,22.47130627,5.821928834,575.2353171,0.017863471,94.94974835,12.9148521,3810.423698,0.015239311,23.28628842,7.244960226,718.7169691,0.002856159,28.52009655,11.08013984,214.7018474,0.015166695,26.65722517,5.459523413,633.8811327,0.01989893,90.79563584,13.38500916,1338.917905,0.00533806,25.08638788,7.139406896,1009.560796,0.004015813,49.20744392,11.16000933,202.5185512,0.01424591,26.48250542,6.588715583,452.3135877,0.013891373,90.0808894,13.06873473,1,34,0.5,1107.894356,浙江,杭州,上城,上八界巷6号小区,33200,上城 - 小营 - 上八界巷6号,120.16891,30.25952
23,23,1614.61527,0.009713337,20.71515279,6.056855674,820.7624515,0.004826212,29.62280425,9.801563595,85.75879217,0.024158342,21.59601087,6.016514075,119.2880782,0.008467031,69.25668652,10.66227964,3615.563214,0.022193504,23.13239294,7.220068984,764.6342592,0.004602396,29.70140015,10.41426416,56.74360355,0.014935562,26.22494812,5.043674772,120.7015434,0.008406585,75.3067203,12.13416237,1494.130078,0.009583815,23.04639445,6.983085415,836.7109622,0.005108963,43.29636951,10.86359923,47.43795202,0.011981482,23.32330596,6.591940635,122.1916946,0.008873632,74.85526352,11.34551629,1,34,0.5,7779.789033,浙江,杭州,拱墅,和睦公寓,35141,拱墅 - 汽车北站 - 莫干山路744号,120.109634,30.317278
24,24,1706.838669,0.006873235,22.56128245,6.328296979,994.5347815,0.004063447,36.04292793,10.26192631,228.7412543,0.022415398,25.37096992,5.743288596,584.3583638,0.020892985,93.60803176,12.23231523,3617.04049,0.01488679,23.26581845,7.213054793,685.1026624,0.002805615,28.03389288,11.00924531,186.2661835,0.018013298,27.46558044,5.367478168,644.486862,0.022242741,92.38999008,12.75548978,1280.209687,0.005257613,25.11134149,7.158758914,966.5224669,0.003943634,49.24995637,11.12147522,179.786296,0.017122232,26.95315827,6.348540904,449.5975805,0.01520163,86.92018583,12.27302474,1,34,0.1,1110.338214,浙江,杭州,上城,觉苑寺巷小区,37000,"上城 - 佑圣观路 - 解放路,近建国中路",120.168987,30.253739
25,25,1412.615346,0.006453097,22.61490583,6.169505562,809.5221654,0.003707423,36.09129708,10.7720546,159.6070284,0.020243138,26.02901987,5.960588348,265.5353579,0.009916895,89.71221991,9.913493891,3066.004521,0.014197389,23.19345141,7.192107681,573.6669208,0.002704117,27.25854565,10.99380023,125.7607878,0.015145238,33.0993747,5.304671872,256.6164345,0.009420877,100.1828269,10.02896761,1088.560803,0.005062166,24.99342017,7.078468923,794.8199857,0.003666664,48.52234057,11.44975439,106.9206966,0.01273792,23.88697158,6.791348791,185.876309,0.006776937,86.88599513,10.14302446,1,34,0.2,2273.230944,浙江,杭州,上城,陆家河头小区,37270,上城 - 望江 - 江城路636号,120.173183,30.239402
26,26,1794.676088,0.006781401,22.34251312,6.340807507,1053.084043,0.004066065,36.18082625,10.17490188,372.6730811,0.040647739,27.93823021,5.49780399,637.4873645,0.023340937,111.8615632,13.39538295,3628.568344,0.013929215,23.30378752,7.246479457,716.6872377,0.002753863,28.68751615,10.61166874,214.8955245,0.023902737,33.33696206,5.278593863,631.0505675,0.023739781,119.1183026,13.57149272,1271.988097,0.00487475,25.28306961,7.186656709,988.2743411,0.003811121,49.39848084,10.90941289,200.3914634,0.022055181,27.16603515,6.379819084,471.2042612,0.01695037,116.4856927,13.10407021,1,34,0.5,1287.217972,浙江,杭州,拱墅,武林新村,50500,拱墅 - 武林 - 文三路,120.157642,30.269392
27,27,1779.958713,0.006993434,22.07948473,6.250703956,1087.629225,0.004330912,35.10033758,10.31246587,149.0358283,0.01524333,24.77723406,5.73004661,243.9731298,0.008134879,114.5748523,11.12318125,3445.924908,0.013672748,23.38125449,7.238054244,744.2916662,0.002978207,29.0049666,10.49569636,88.89305069,0.008896197,23.11347072,4.600612192,179.9747853,0.005923156,131.6935482,12.31769281,1275.024927,0.005105029,25.04238103,7.149925289,984.2857805,0.003919461,48.56927482,11.23791167,75.82569394,0.007593565,28.6569348,5.94939081,142.8955228,0.004690302,109.6996307,10.5118342,1,34,0.8,2592.868998,浙江,杭州,西湖,武林门新村,52116,西湖 - 文三路 - 武林巷,120.14521,30.27895
28,28,1740.42306,0.007097804,21.86138611,6.210372383,1021.767305,0.004173501,34.20597583,10.34068093,154.0292227,0.014553957,24.57631667,4.948309691,257.822519,0.007503979,76.49899959,11.48760105,3401.772953,0.013998685,23.41948106,7.272029928,748.8003954,0.003081688,29.17522833,10.42090255,90.66260467,0.008181501,19.75661906,5.79360871,187.7239137,0.005337907,83.9769276,10.92674686,1283.881973,0.00532984,24.62537998,7.140817288,932.6078772,0.003794469,47.60338423,11.37866509,79.16125258,0.007091592,23.03126304,6.366695656,135.7168735,0.00387928,90.10509132,10.7272734,1,34,0.2,3563.086151,浙江,杭州,西湖,石灰桥新村,57199,西湖 - 文教 - 莫干山路,120.140443,30.287401
29,29,1680.739614,0.007002171,21.80815656,6.213530113,1022.56066,0.004283233,34.1733185,10.4172895,118.3266888,0.01899268,23.27488756,4.681938361,260.8789021,0.011422151,88.8770867,11.70671046,3285.050117,0.01382102,23.42176973,7.277228279,732.9694879,0.003096942,29.06364013,10.31847641,59.90463219,0.009615591,20.77008142,5.408758694,195.5718482,0.009267488,114.8870091,12.26657553,1248.91314,0.005312039,24.74309895,7.17169382,918.709204,0.003844381,47.7710836,11.43887904,48.39337438,0.007471291,21.97301479,6.003664084,150.914234,0.006911156,97.89240558,11.51853995,1,34,0.5,3312.441941,浙江,杭州,西湖,西溪河东,68093,"西湖 - 学军 - 西溪河东3,4号",120.136312,30.28136
30,30,1051.416646,0.005183792,22.66314275,6.140492948,646.4003335,0.003233057,36.11504765,10.42776946,134.0706485,0.017550411,24.12995523,5.858535796,193.9033601,0.008832198,92.50137677,10.34246511,2402.369986,0.0121557,23.01246025,7.140030821,460.7186121,0.002554594,26.66677998,11.01671302,97.60980728,0.012392403,26.28683003,5.64470926,213.9179704,0.009632301,104.8278659,9.082170183,834.2082323,0.004226181,25.14398406,7.149744037,626.5513591,0.00324353,49.44563444,11.39187666,77.52382588,0.01044838,26.40346925,7.185867081,145.4115802,0.00634263,93.04895727,9.580465495,1,33,0.5,2395.363344,浙江,杭州,上城,白马庙巷49号小区,27800,上城 - 吴山/清波门 - 白马庙巷49号,120.164473,30.233405
31,31,1079.686022,0.005288605,22.65610104,6.15307249,658.0631307,0.003260546,36.09237804,10.53312169,151.7612622,0.018956657,23.82775882,5.984623659,204.7821738,0.008878381,91.4182579,10.25331884,2453.829542,0.01230829,23.01673037,7.137553029,469.4419983,0.002553487,26.72321928,10.99990704,110.3820534,0.01344489,27.48590406,5.580788175,219.3705844,0.00944352,101.5632122,9.188386267,854.2606045,0.004298332,25.11684854,7.135567326,637.7105874,0.003253948,49.33814018,11.41920177,88.30153685,0.011232203,25.89775768,7.114883705,152.4878968,0.006396196,90.83310111,9.603423962,1,33,0.5,2394.501379,浙江,杭州,上城,白马庙巷6号小区,32400,上城 - 吴山/清波门 - 白马庙巷6号,120.165451,30.2337
32,32,1124.169366,0.005301521,22.66243602,6.185103385,691.817271,0.00330912,36.17471257,10.35398324,145.8128296,0.016682167,22.85933237,6.051841894,246.3381217,0.011158841,97.41223636,10.90734681,2539.875645,0.012342445,23.01900506,7.160280443,485.6961406,0.00255087,26.7668256,11.03495442,111.2623721,0.012787297,28.54051613,5.411040752,256.0179872,0.011513782,109.3883047,9.859597837,876.529111,0.004227295,25.21068238,7.182578232,668.1278247,0.003298304,49.51100838,11.2740677,85.32486364,0.010001845,26.00906137,6.90062413,177.9193883,0.00779717,95.45898987,9.851980914,1,33,0.5,2148.53931,浙江,杭州,上城,太庙巷小区,32400,"上城 - 吴山/清波门 - 十五奎巷,近城隍牌楼",120.163889,30.235804
33,33,1173.257181,0.00535114,22.67909363,6.286753163,730.2102831,0.003397464,36.23448323,10.26282518,184.195942,0.020996327,24.91730665,5.926137577,313.0530126,0.015305706,102.0085803,10.98931911,2629.154634,0.012443672,23.04252599,7.173996861,506.1365033,0.002581309,26.8856741,11.25647091,123.8985074,0.014323425,27.28184439,5.635670282,298.1955531,0.014408602,116.460953,10.59117249,904.1869442,0.004220287,25.31173238,7.234919272,701.9535856,0.003379759,49.69394037,11.05011816,105.8088148,0.011874615,26.01070217,6.740810396,205.0021104,0.009745576,100.968412,10.27126908,1,33,0.5,1871.204362,浙江,杭州,上城,四牌楼,33200,"上城 - 吴山/清波门 - 城隍牌楼巷,近十五奎巷",120.162217,30.238249
34,34,1672.482709,0.007539785,22.59463006,6.246645176,921.2584312,0.004181337,36.11806682,10.65673361,234.2973615,0.034520101,19.78064342,5.055409456,253.4274732,0.009052628,79.6675325,9.724475809,3533.246166,0.016039046,23.34311407,7.207672443,644.8364737,0.002929497,28.46362123,11.15194622,62.87589639,0.009997911,22.63169594,3.926749967,160.9225894,0.00554584,78.95914241,10.29652974,1285.7717,0.005847073,24.83027861,7.048522504,921.5404409,0.004200561,47.48919614,11.36315861,58.67304944,0.009002227,24.39419034,5.545639678,120.2510999,0.004157348,73.76344491,9.997747033,1,33,0.15,2768.061612,浙江,杭州,上城,莫邪塘西村,35800,上城 - 近江 - 甘王路,120.183763,30.245817
